"","Open","High","Low","Close","Volume (BTC)","Volume (Currency)","Weighted Price"
"100",10.46308,10.56893,10.10645,10.18016,46.158,474.53002412,10.2805586057
"101",10,10.5,10,10.20323,39,405.73764,10.4035292308
"102",10.15,10.5,10,10.5,81.33,843.65618,10.3732470183
"103",10.38814,11.4305,10.38814,11.4305,64.4,692.874777438,10.7589251155
"104",11.42999,11.43,11.42999,11.43,6.03,68.92285,11.4299917081
"105",11.23117,11.42998,10.3523,10.3523,10.59,119.753637,11.3081810198
"106",11.42799,11.66628,9.97001,11.13542,93.060969,1077.33839243,11.5766943328
"107",11.39639,11.65,10.9019,10.9019,14.292,158.51358,11.091070529
"108",10.5,10.5,9.6001,9.6001,13.38095,139.600075,10.4327476749
"109",0,0,0,0,0,0,0
"110",10.5,10.89999,10.5,10.7,83.1056,900.944283348,10.840957569
"111",10.26225,10.6,10.13804,10.6,97.196865,1027.82337524,10.5746556254
"112",10.2,10.45,10.2,10.45,19.01,195.404624,10.2790438716
"113",10.45,10.45,9.61,9.61,24.5,254.44587,10.3855457143
"114",10.45,10.47,10.45,10.47,45.2670949,473.915413603,10.4693136295
"115",10.50611,10.753,10.50611,10.753,216.56751548,2326.84801254,10.7442152965
"116",11.06007,11.06007,10.86883,10.86883,17.51715,191.254785201,10.9181450864
"117",11.05768,17,11.00587,11.77,203.7196,2571.57593882,12.6231150013
"118",11.53696,11.77,11,11.23012,300.1,3414.329926,11.3773073176
"119",11.36217,11.76498,11.36217,11.76498,221.241283,2554.50813267,11.5462543791
"120",10.92092,11.30354,10.8802,11.23811,150.70410358,1658.67315481,11.0061578644
"121",11.5,11.676,11.09299,11.676,79.35938,908.412958067,11.4468252911
"122",11.12494,11.9,11.12494,11.9,3.88585,44.779958099,11.5238514351
"123",11.32454,11.46697,11.2423,11.2423,13.42007,152.114167833,11.334826706
"124",11.50301,12,11.50301,12,49.57023,592.198590077,11.9466581066
"125",12,12,12,12,2.301,27.612,12
"126",11.91042,13,11.91042,13,2.7,32.92084,12.1929037037
"127",11.8,11.8,11.8,11.8,0.091,1.0738,11.8
"128",0,0,0,0,0,0,0
"129",12.63772,12.72333,12.63772,12.63772,15.8,200.203655,12.6711174051
"130",13.1,13.15123,13.07201,13.07201,8.1,106.299975,13.1234537037
"131",12.85273,13.084,12.30192,12.8241,86.335984,1088.69586623,12.6099896681
"132",12.74969,12.74969,12.625,12.6255,1.5791,20.015054655,12.6749760338
"133",12.7,12.7,12.42863,12.42863,8.805,110.99446465,12.6058449347
"134",12.11608,12.39899,11.42685,11.42685,46.91889952,560.644771942,11.9492310706
"135",11.92057,12.19515,11.91017,12.19515,44.5,531.777955,11.9500664045
"136",12.15022,12.17153,12.12315,12.17153,15.14196,183.868253088,12.1429625417
"137",12.21216,12.29456,12.13323,12.2254,55.54641424,677.483178868,12.1967041102
"138",12.38911,12.69106,12.31098,12.69106,42.59795,533.276465906,12.5188293311
"139",12.7122,12.77089,12.70802,12.75204,17.814463,226.974677631,12.7410339358
"140",12.75205,12.75205,12.03285,12.37467,57.4646332,713.546376439,12.4171396684
"141",12.07852,12.42485,12.04764,12.33247,25.8728528,315.40274317,12.1904896073
"142",12.42485,12.73706,12.42485,12.73706,23.19158,291.647624411,12.5755823627
"143",12.87852,13.07211,12.87852,13.07211,87.70515,1141.92816335,13.0200810711
"144",13.06073,13.0721,13.06073,13.0721,8.117,106.0493857,13.0650961809
"145",13.0105,13.07191,12.97928,13.04221,30.17688154,393.377035424,13.0357086402
"146",13.03574,13.0861,12.98662,13.0861,35.99321,468.847276627,13.0259923087
"147",12.45001,12.45001,12,12.1601,56.29732,699.422293018,12.4237227104
"148",12.09437,12.5,11.21,12.5,12.6591,151.893765599,11.9987807663
"149",11.22001,12.30687,11.22001,12.29613,59.55715,727.275329967,12.2113857021
"150",12.13868,12.4,12.13556,12.1611,15.69720505,191.612449459,12.2067876956
"151",12.08491,12.161,12,12,54.73468,665.525075175,12.159111466
"152",12.154,12.16099,12.154,12.154,16.726,203.34180874,12.1572287899
"153",12.16099,12.161,12.16099,12.161,21.38,260.00205368,12.1609940917
"154",12.16099,12.161,11.90002,11.90002,61.84625121,746.054532461,12.0630518077
